"site" "deployment_id" "filename" "label" "confidence" "site.id" "day.id" "image.id" "obs.class"
"CT-7B" "CT-7B_May17-June13" "RCNX0176.JPG" "deer" 7.27812872221345 20 4 1 1
"CT-7B" "CT-7B_May17-June13" "RCNX0176.JPG" "deer" 9.21024036697596 20 4 1 1
"CT-7B" "CT-7B_May17-June13" "RCNX0179.JPG" "deer" 9.02789880798158 20 4 2 NA
"CT-7B" "CT-7B_May17-June13" "RCNX0197.JPG" "deer" 8.46819300519351 20 8 2 NA
"CT-7B" "CT-7B_May17-June13" "RCNX0200.JPG" "deer" 8.51699317141368 20 8 3 1
"CT-7B" "CT-7B_May17-June13" "RCNX0206.JPG" "deer" 9.43340392009061 20 8 5 NA
"CT-7B" "CT-7B_May17-June13" "RCNX0233.JPG" "deer" -0.395475015033078 20 9 5 0
"CT-7B" "CT-7B_May17-June13" "RCNX0263.JPG" "deer" 7.90163748385917 20 13 3 NA
"CT-7B" "CT-7B_May17-June13" "RCNX0266.JPG" "deer" 8.37720122258723 20 13 4 1
"CT-7B" "CT-7B_May17-June13" "RCNX0269.JPG" "deer" 9.11492018612092 20 13 5 1
"CT-7B" "CT-7B_May17-June13" "RCNX0278.JPG" "deer" 9.9034375512862 20 13 7 1
"CT-7B" "CT-7B_May17-June13" "RCNX0284.JPG" "deer" 8.04686951095962 20 13 9 NA
"CT-7B" "CT-7B_May17-June13" "RCNX0287.JPG" "deer" 9.9034375512862 20 13 10 1
